category,name,quantity,date_of_purchase
Microcontroller,Break Out Board ESP‑32,6.0,28.02.2024
Microcontroller,ESP 32 WROOM,2.0,30.10.2023
Microcontroller,OceanLabz ESP32 WROOM‑32,5.0,"21.12.2023,
07.06.2024"
Microcontroller,Raspberry Pi Zero W Starter Kit,1.0,07.06.2024
Microcontroller,Raspberry Pi Zero 2 W,,01.09.2022
Microcontroller,SIM A7672S 4G LTE + GNSS board,1.0,07.01.2024
Microcontroller,ESP32‑S3‑Dev Kit,5.0,07.01.2024
Microcontroller,NB‑IoT / Cat‑M HAT,2.0,24.07.2024
Microcontroller,LoRa HAT 868 MHz,2.0,24.07.2024
Sensor,ADS1115 ADC (2 units + another set of 5) → total,7.0,24.07.2024
Sensor,ADS1115 16‑Bit ADC with PGA,1.0,25.09.2023
Sensor,INA219 power/current monitor (CJMCU‑219),12.0,25.09.2023
Sensor,Waterproof Ultrasonic Obstacle Sensor,2.0,25.09.2023
Sensor,HC‑SR04 Ultrasonic Bracket,6.0,25.09.2023
Sensor,SONOFF DS18B20 temperature sensor,1.0,25.09.2023
Sensor,MPU‑6050 gyro / accelerometer,5.0,25.09.2023
Sensor,BMP 280 pressure / temperature sensor,5.0,21.03.2024
Sensor,Soil Moisture (REES52) sensor,5.0,25.09.2023
Sensor,DHT22 humidity / temperature sensor,5.0,21.12.2023
Sensor,pH sensor,1.0,"07.06.2024,
"
Sensor,TDS sensor,1.0,"07.06.2024,
"
Sensor,Turbidity sensor,1.0,"07.06.2024,
"
Actuator,TB 6600 stepper motor driver,3.0,17.01.2024
Actuator,Stepper Motor,1.0,23.02.2024
Actuator,L298 Motor Driver,6.0,17.01.2024
Actuator,1000 RPM DC Motor,6.0,03.08.2023
Actuator,RGB Strip,1.0,25.09.2023
Actuator,LED Strip,1.0,25.09.2023
Actuator,100 W Flood Light,1.0,25.09.2023
Electronic,TLP IC (optocoupler),21.0,25.09.2023
Electronic,PC817 IC (optocoupler),22.0,18.04.2023
Electronic,MOSFET Module,21.0,21.12.2023
Electronic,Resistors (SMD resistors),100.0,21.12.2023
Electronic,Metal Film Resistor Kit (600 pcs × 4 kits?),4.0,21.12.2023
Electronic,PC817 4‑ch Optocoupler Module,10.0,21.12.2023
Electronic,I²C Serial Interface Adapter,20.0,21.12.2023
Electronic,PCI‑E GPU Power Cable Adapters,4.0,21.12.2023
Electronic,USB‑TTL Converters,6.0,27.12.2023
Electronic,TTL‑to‑RS485 Converter,5.0,27.12.2023
Electronic,18650 Battery Holder (single),20.0,27.12.2023
Electronic,Dual‑18650 Power Shield,1.0,18.04.2023
Electronic,Battery Balance Board,1.0,18.04.2023
Electronic,Powered USB Hub (QZ Active 7‑Port),1.0,18.04.2023
Electronic,Card Reader,1.0,18.04.2023
Electronic,SSD,1.0,18.03.2023
